feature,coefficient,abs_coefficient
Coding_Test_Score,1.2091196262673631,1.2091196262673631
Confidence_Score,1.1669916885348948,1.1669916885348948
Technical_Questions_Answered,1.1485121386472334,1.1485121386472334
Response_Relevance_Score,1.142972174724436,1.142972174724436
Interviewer_Rating,0.8707143753556161,0.8707143753556161
Behavioral_Questions_Answered,0.825036325368388,0.825036325368388
Eye_Contact_Score,0.786765820123311,0.786765820123311
Body_Language_Score,0.7820219161631142,0.7820219161631142
Time_Management_Score,0.6858949770751627,0.6858949770751627
Filler_Words_Used,-0.6311109821815609,0.6311109821815609
Network_Stability_Score,0.5164005551860537,0.5164005551860537
Follow_Up_Questions_Asked,0.378078635106137,0.378078635106137
Background_Noise_Level_Low,-0.35700233112068086,0.35700233112068086
Background_Noise_Level_High,0.35443648635968167,0.35443648635968167
Microphone_Clarity_Poor,-0.32113926868406145,0.32113926868406145
Microphone_Clarity_Clear,0.32009797276020313,0.32009797276020313
Camera_On_Yes,0.29608403030399844,0.29608403030399844
Camera_On_No,-0.29608403030399827,0.29608403030399827
Interview_Round_Final,0.1309044754004575,0.1309044754004575
Interview_Round_HR,-0.11968326496001107,0.11968326496001107
Education_Level_Bachelors,-0.11303005586733143,0.11303005586733143
Education_Level_PhD,0.08915678316138728,0.08915678316138728
Dressing_Appropriateness_Formal,0.061707233810997617,0.061707233810997617
Dressing_Appropriateness_Casual,-0.0586127071210785,0.0586127071210785
Speech_Speed_WPM,-0.050101871739870865,0.050101871739870865
Interview_Round_Managerial,-0.03683883176224791,0.03683883176224791
Industry_Education,-0.03631145663670894,0.03631145663670894
Industry_Tech,0.026054852128457602,0.026054852128457602
Interview_Round_Technical,0.025617621321801447,0.025617621321801447
Education_Level_Masters,0.02387327270594433,0.02387327270594433
Position_Applied_UI/UX Designer,-0.021511773941716515,0.021511773941716515
Duration_Minutes,0.019829472048663935,0.019829472048663935
Industry_Healthcare,0.017843966031496284,0.017843966031496284
Position_Applied_Data Analyst,0.012347839885438326,0.012347839885438326
Industry_Consulting,-0.012026021646926335,0.012026021646926335
Interview_Mode_Google Meet,-0.010394213146077521,0.010394213146077521
Interview_Mode_Zoom,0.010141510361258873,0.010141510361258873
Age,0.009168685445718285,0.009168685445718285
Gender_Male,-0.008187474082575509,0.008187474082575509
Gender_Female,0.0069980400418277865,0.0069980400418277865
Position_Applied_Project Manager,0.006247947567526617,0.006247947567526617
Industry_Finance,0.0044386601236809965,0.0044386601236809965
Dressing_Appropriateness_Semi-Formal,-0.0030945266899192053,0.0030945266899192053
Position_Applied_Software Engineer,0.002915986488750693,0.002915986488750693
Background_Noise_Level_Medium,0.0025658447609998368,0.0025658447609998368
Gender_Non-binary,0.0011894340407488041,0.0011894340407488041
Microphone_Clarity_Moderate,0.0010412959238580897,0.0010412959238580897
Interview_Mode_Skype,0.00027827871531406885,0.00027827871531406885
Interview_Mode_Teams,-2.557593049553661e-05,2.557593049553661e-05
